"round","team1","seed1","seednumber1","team2","seed2","seednumber2","upsetprobability","recentperformancebonus","overtimebonus","scoringmarginbonus","predictedwinner"
"Round of 64","Purdue","Y01",1,"Wagner","X16b",16,"0.4","0","0","0.1","Wagner"
"Round of 64","Purdue","Y01",1,"Grambling","Y16a",16,"0.4","0","0.1","0.1","Purdue"
"Round of 64","Purdue","Y01",1,"Stetson","W16",16,"0.4","0","0","0.1","Stetson"
"Round of 64","Purdue","Y01",1,"Longwood","Z16",16,"0.4","0","0","0.1","Purdue"
"Round of 64","Purdue","Y01",1,"Montana St","Y16b",16,"0.4","0","0","0.1","Montana St"
"Round of 64","Purdue","Y01",1,"Howard","X16a",16,"0.4","0","0","0.1","Purdue"
"Round of 64","Texas","Y07",7,"Boise St","Z10a",10,"0.4","0","0","0.1","Texas"
"Round of 64","Texas","Y07",7,"Colorado St","Y10a",10,"0.4","0","0","0.1","Texas"
"Round of 64","Texas","Y07",7,"Drake","W10",10,"0.4","0","0","0.1","Texas"
"Round of 64","Texas","Y07",7,"Virginia","Y10b",10,"0.4","0","0","0.1","Texas"
"Round of 64","Texas","Y07",7,"Colorado","Z10b",10,"0.4","0","0","0.1","Colorado"
"Round of 64","Texas","Y07",7,"Nevada","X10",10,"0.4","0","0","0.1","Texas"
"Round of 64","Clemson","X06",6,"Oregon","Y11",11,"0.4","0","0","0.1","Clemson"
"Round of 64","Clemson","X06",6,"Duquesne","W11",11,"0.4","0","0","0.1","Clemson"
"Round of 64","Clemson","X06",6,"New Mexico","X11",11,"0.4","0","0","0","New Mexico"
"Round of 64","Clemson","X06",6,"NC State","Z11",11,"0.4","0","0","0.1","Clemson"
"Round of 64","Wisconsin","Z05",5,"McNeese St","Y12",12,"0.4","0.1","0.1","0","McNeese St"
"Round of 64","Wisconsin","Z05",5,"UAB","W12",12,"0.4","0","0","0.1","UAB"
"Round of 64","Wisconsin","Z05",5,"James Madison","Z12",12,"0.4","0.1","0","0.1","Wisconsin"
"Round of 64","Wisconsin","Z05",5,"Grand Canyon","X12",12,"0.4","0.1","0","0.1","Wisconsin"
"Round of 64","Baylor","X03",3,"Colgate","X14",14,"0.4","0","0.1","0.1","Colgate"
"Round of 64","Baylor","X03",3,"Akron","Y14",14,"0.4","0","0.1","0.1","Akron"
"Round of 64","Baylor","X03",3,"Morehead St","W14",14,"0.4","0","0.1","0.1","Baylor"
"Round of 64","Baylor","X03",3,"Oakland","Z14",14,"0.4","0","0.1","0.1","Oakland"
"Round of 64","San Diego St","W05",5,"McNeese St","Y12",12,"0.4","0","0.1","0","San Diego St"
"Round of 64","San Diego St","W05",5,"UAB","W12",12,"0.4","0","0.1","0.1","UAB"
"Round of 64","San Diego St","W05",5,"James Madison","Z12",12,"0.4","0","0.1","0","James Madison"
"Round of 64","San Diego St","W05",5,"Grand Canyon","X12",12,"0.4","0","0.1","0","San Diego St"
"Round of 64","Auburn","W04",4,"Yale","W13",13,"0.4","0.1","0","0.1","Auburn"
"Round of 64","Auburn","W04",4,"Vermont","Z13",13,"0.4","0.1","0","0.1","Vermont"
"Round of 64","Auburn","W04",4,"Col Charleston","X13",13,"0.4","0.1","0","0.1","Col Charleston"
"Round of 64","Auburn","W04",4,"Samford","Y13",13,"0.4","0.1","0","0.1","Auburn"
"Round of 64","North Carolina","X01",1,"Wagner","X16b",16,"0.4","0","0","0.1","North Carolina"
"Round of 64","North Carolina","X01",1,"Grambling","Y16a",16,"0.4","0","0.1","0.1","Grambling"
"Round of 64","North Carolina","X01",1,"Stetson","W16",16,"0.4","0.1","0","0.1","Stetson"
"Round of 64","North Carolina","X01",1,"Longwood","Z16",16,"0.4","0","0","0.1","North Carolina"
"Round of 64","North Carolina","X01",1,"Montana St","Y16b",16,"0.4","0","0","0.1","Montana St"
"Round of 64","North Carolina","X01",1,"Howard","X16a",16,"0.4","0","0","0.1","North Carolina"
"Round of 64","FL Atlantic","W08",8,"Texas A&M","Z09",9,"0.4","0","0.1","0.1","Texas A&M"
"Round of 64","FL Atlantic","W08",8,"Northwestern","W09",9,"0.4","0.1","0","0.1","FL Atlantic"
"Round of 64","FL Atlantic","W08",8,"TCU","Y09",9,"0.4","0.1","0.1","0","FL Atlantic"
"Round of 64","FL Atlantic","W08",8,"Michigan St","X09",9,"0.4","0.1","0.1","0","Michigan St"
"Round of 64","Illinois","W03",3,"Colgate","X14",14,"0.4","0.1","0.1","0.1","Colgate"
"Round of 64","Illinois","W03",3,"Akron","Y14",14,"0.4","0.1","0","0.1","Akron"
"Round of 64","Illinois","W03",3,"Morehead St","W14",14,"0.4","0.1","0","0.1","Illinois"
"Round of 64","Illinois","W03",3,"Oakland","Z14",14,"0.4","0.1","0","0.1","Oakland"
"Round of 64","Texas Tech","Z06",6,"Oregon","Y11",11,"0.4","0","0","0.1","Texas Tech"
"Round of 64","Texas Tech","Z06",6,"Duquesne","W11",11,"0.4","0","0.1","0.1","Texas Tech"
"Round of 64","Texas Tech","Z06",6,"New Mexico","X11",11,"0.4","0","0.1","0.1","New Mexico"
"Round of 64","Texas Tech","Z06",6,"NC State","Z11",11,"0.4","0","0","0.1","NC State"
"Round of 64","Washington St","W07",7,"Boise St","Z10a",10,"0.4","0","0","0","Washington St"
"Round of 64","Washington St","W07",7,"Colorado St","Y10a",10,"0.4","0","0","0","Colorado St"
"Round of 64","Washington St","W07",7,"Drake","W10",10,"0.4","0","0","0.1","Washington St"
"Round of 64","Washington St","W07",7,"Virginia","Y10b",10,"0.4","0","0","0","Washington St"
"Round of 64","Washington St","W07",7,"Colorado","Z10b",10,"0.4","0","0","0","Colorado"
"Round of 64","Washington St","W07",7,"Nevada","X10",10,"0.4","0","0","0","Washington St"
"Round of 64","Utah St","Y08",8,"Texas A&M","Z09",9,"0.4","0","0.1","0","Texas A&M"
"Round of 64","Utah St","Y08",8,"Northwestern","W09",9,"0.4","0.1","0","0.1","Northwestern"
"Round of 64","Utah St","Y08",8,"TCU","Y09",9,"0.4","0.1","0.1","0","TCU"
"Round of 64","Utah St","Y08",8,"Michigan St","X09",9,"0.4","0.1","0.1","0","Michigan St"
"Round of 64","Kansas","Y04",4,"Yale","W13",13,"0.4","0","0","0.1","Kansas"
"Round of 64","Kansas","Y04",4,"Vermont","Z13",13,"0.4","0","0","0.1","Kansas"
"Round of 64","Kansas","Y04",4,"Col Charleston","X13",13,"0.4","0","0","0.1","Kansas"
"Round of 64","Kansas","Y04",4,"Samford","Y13",13,"0.4","0","0","0.1","Kansas"
"Round of 64","Kentucky","Z03",3,"Colgate","X14",14,"0.4","0","0.1","0.1","Colgate"
"Round of 64","Kentucky","Z03",3,"Akron","Y14",14,"0.4","0","0.1","0.1","Akron"
"Round of 64","Kentucky","Z03",3,"Morehead St","W14",14,"0.4","0","0.1","0.1","Morehead St"
"Round of 64","Kentucky","Z03",3,"Oakland","Z14",14,"0.4","0","0","0.1","Oakland"
"Round of 64","St Mary's CA","X05",5,"McNeese St","Y12",12,"0.4","0","0.1","0.1","McNeese St"
"Round of 64","St Mary's CA","X05",5,"UAB","W12",12,"0.4","0","0","0.1","UAB"
